t,I
3.8000000000000003,98.6346664428711
4.0,96.99441528320312
4.2,94.75501251220703
4.4,93.25827026367188
4.6000000000000005,91.90593719482422
4.800000000000001,89.87834930419922
5.0,88.5643539428711
5.2,87.21487426757812
5.4,86.66890716552734
5.6000000000000005,85.41936492919922
5.800000000000001,84.07115173339844
6.0,82.55382537841797
6.2,81.83387756347656
6.4,80.74442291259766
6.6000000000000005,79.15069580078125
6.800000000000001,77.62110900878906
7.0,76.92215728759766
7.2,76.04495239257812
7.4,73.3135757446289
7.6000000000000005,72.00746154785156
7.800000000000001,69.72393035888672
8.0,68.6732177734375
8.200000000000001,67.14613342285156
8.4,65.89999389648438
8.6,64.26905822753906
8.8,62.77091979980469
9.0,61.62021255493164
9.200000000000001,60.240787506103516
9.4,59.70435333251953
9.600000000000001,58.42389678955078
10.0,55.0313835144043
10.200000000000001,53.56861877441406
10.4,53.11692428588867
10.600000000000001,51.94242477416992
10.8,51.92382049560547
11.0,51.223636627197266
11.200000000000001,51.342594146728516
11.4,50.21198272705078
11.600000000000001,49.86714553833008
11.8,50.990760803222656
12.0,49.19157409667969
12.200000000000001,49.511348724365234
12.4,49.27383804321289
12.600000000000001,49.10028076171875
12.8,49.287540435791016
13.0,48.80899429321289
13.200000000000001,47.862083435058594
13.4,48.07322692871094
13.600000000000001,48.53874588012695
13.8,47.314605712890625
14.0,47.02290725708008
14.200000000000001,46.740055084228516
14.4,46.07037353515625
